title,composer,style,key,transpose,comp_style,bpm,repeats,time_signature,chords
El Cajon,Mandel Johnny,Bossa Nova,Eb,,Jazz-Bossa Nova,360,3,"(4, 4)","['G7', 'Db7', 'C13', 'F7sus', 'F13', 'F-7', 'B7', 'Bb9', 'Bb7b9', 'Eb7sus', 'Eb13', 'Ab^7', 'G7b9', 'C7sus', 'C7', 'F7sus', 'F13', 'Bb7sus', 'Bbo7', 'Bb13', 'Ab9', 'Ab^', 'G7b9', 'C7sus', 'C7b9', 'F9', 'B9', 'Bb13', 'Eb^7', 'Ab9', 'G7', 'Db7', 'C13', 'F7sus', 'F13', 'F-7', 'B7', 'Bb9', 'Bb7b9', 'Eb7sus', 'Eb13', 'Ab^7', 'G7b9', 'C7sus', 'C7', 'F7sus', 'F13', 'Bb7sus', 'Bbo7', 'Bb13', 'Ab9', 'Ab^', 'G7b9', 'C7sus', 'C7b9', 'F9', 'B9', 'Bb13', 'Eb9', 'Db9', 'C7b9', 'F9', 'B9', 'Bb7sus', 'Eb9', 'Db9', 'C7b9', 'F9', 'B9', 'Bb7sus', 'Db13', 'D13', 'Eb13#11']"
El Gaucho,Shorter Wayne,Bossa Nova,F,,0,0,,"(4, 4)","['F^7', 'Eb^7', 'D-7', 'Bb7', 'B7', 'E7#9#5', 'F-7', 'Gb^7', 'F-7', 'Gb^7', 'Eb^7', 'Eb^7', 'Eb^7', 'C-7', 'D-7', 'G7', 'C-7', 'D-7', 'E-7', 'E-7', 'E-7', 'E-7', 'E-7']"
Elora,Johnson J.J.,Medium Swing,Bb,,0,0,,"(4, 4)","['C-7', 'F7', 'Bb^7', 'Eb^7', 'D-7', 'Db7', 'C-7', 'G7b9', 'C-7', 'F7', 'Bb^7', 'Dh7', 'Db7', 'C-7', 'F7', 'Bb^7', 'Eb^7', 'D-7', 'Db7', 'C-7', 'G7b9', 'C-7', 'F7', 'Bb^7', 'F-7', 'Bb7', 'Eb^7', 'Eb-7', 'Bb^7', 'Ah7', 'D7b9', 'G-7', 'C7', 'C-7', 'F7', 'C-7', 'F7', 'Bb^7', 'Eb^7', 'D-7', 'Db7', 'C-7', 'G7b9', 'C-7', 'F7', 'Bb^7', 'Dh7', 'Db7']"
Embraceable You,Gershwin George,Ballad,G,,0,0,,"(4, 4)","['G^7', 'Bbo7', 'A-7', 'D7', 'A-7', 'C-6', 'G^7', 'F#h7', 'B7b9', 'E-', 'E-/D', 'C#h7', 'F#7#5', 'B-7', 'E-7', 'A7', 'D^7', 'B-7', 'E-7', 'A7', 'A-7', 'D7', 'G^7', 'Bbo7', 'A-7', 'D7', 'A-7', 'C-6', 'G^7', 'D-7', 'G7', 'C^7', 'F#h7', 'B7b9', 'E-7', 'E-7/D', 'C#h7', 'C-6', 'B-7', 'E7', 'Ah7', 'D7b9', 'G^7', 'A-7', 'D7']"
Emily,Mandel Johnny,Waltz,G,,0,0,,"(3, 4)","['G^7', 'E-7', 'A-7', 'D7', 'G^7', 'G7', 'C^7', 'F7', 'E^7', 'C#-7', 'F#-7', 'B7b9', 'E-7', 'A7', 'A-7', 'D7#5', 'G^7', 'E-7', 'A-7', 'D7', 'G^7', 'G7', 'C^7', 'B7', 'E-7', 'F#7b13', 'B-7', 'E7', 'A-7', 'D7', 'Bh7', 'E7b9', 'C#h7', 'C-6', 'B-7', 'E7b9', 'A-7', 'D7', 'G^7', 'D7']"
"End Of A Love Affair, The",Redding Edward,Ballad,F,,0,0,,"(4, 4)","['G-7', 'C7', 'F^7', 'F-7', 'Bb7', 'Eb^7', 'Eb-7', 'Ab7', 'Eb-7', 'Ab7', 'Db^7', 'G-7', 'C7', 'F^7', 'G-7', 'C7', 'F^7', 'F-7', 'Bb7', 'Eb^7', 'Eb-7', 'Ab7', 'Eb-7', 'Ab7', 'Db^7', 'G-7', 'C7', 'F^7', 'D-7', 'G7', 'D-7', 'G7', 'D-7', 'G7', 'D-7', 'G7', 'C^7', 'A-7', 'D7', 'D-7', 'G7', 'G-7', 'C7', 'G-7', 'C7', 'F^7', 'F-7', 'Bb7', 'Eb^7', 'Eb-7', 'Ab7', 'Eb-7', 'Ab7', 'Db^7', 'G-7', 'C7', 'C-7', 'F7', 'Bb^7', 'Bb-6', 'Eb7', 'F^7', 'Abo7', 'G-7', 'F#o7', 'G-7', 'C7', 'F6', 'F6']"
"Enjoy Yourself, It's Later Than You Think","Herb Magidson, Carl Sigman (1948)",Medium Swing,C,,Jazz-Medium Swing,100,3,"(4, 4)","['C', 'C', 'C', 'G7', 'G7', 'G7', 'G7', 'C', 'C', 'C', 'C7', 'F', 'F', 'C', 'G7', 'C']"
Epilogue,Evans Bill,Medium Swing,Eb,,0,0,,"(4, 4)","['Eb', 'D', 'C-', 'Bb', 'Ab^7', 'Eb/G', 'Bb/F', 'Eb', 'G7/D', 'C-11', 'Bb', 'Ab^7', 'G-7', 'Csus', 'Csus', 'Ab^7', 'Ab^7', 'G-', 'Eb/G', 'G-/C', 'C-', 'Eb/Bb', 'G/B', 'Csus', 'Csus']"
Epistrophy,"Thelonious Monk, Kenny Clarke",Medium Swing,Db,,0,0,,"(4, 4)","['Db7', 'D7', 'Db7', 'D7', 'Db7', 'D7', 'Db7', 'D7', 'Eb7', 'E7', 'Eb7', 'E7', 'Eb7', 'E7', 'Eb7', 'E7', 'Eb7', 'E7', 'Eb7', 'E7', 'Eb7', 'E7', 'Eb7', 'E7', 'Db7', 'D7', 'Db7', 'D7', 'Db7', 'D7', 'Db7', 'D7', 'F#-7', 'F#-7', 'F#-7', 'F#-7', 'B7', 'B7', 'Db7', 'D7', 'Eb7', 'E7', 'Eb7', 'E7', 'Eb7', 'E7', 'Eb7', 'E7', 'Db7', 'D7', 'Db7', 'D7', 'Db7', 'D7', 'Db7', 'D7']"
Equinox,Coltrane John,Slow Swing,C#-,,0,0,,"(4, 4)","['C#-7', 'C#-7', 'C#-7', 'C#-7', 'F#-7', 'F#-7', 'C#-7', 'C#-7', 'A7', 'G#7', 'C#-7', 'C#-7']"
Eronel,Monk Thelonious,Medium Swing,G,,0,0,,"(4, 4)","['G^7', 'G^7/A', 'B-7', 'E7', 'Bb-^7', 'Eb7#11', 'A-7', 'C-7', 'F7', 'A-7', 'Ab7', 'G6', 'Ab6', 'G^7', 'G^7/A', 'B-7', 'E7', 'Bb-^7', 'Eb7#11', 'A-7', 'C-7', 'F7', 'A-7', 'Ab7', 'G^7', 'D-7', 'G7', 'C7', 'C7', 'C-7', 'F7', 'B-7', 'Bb7', 'Eb^7', 'Ab7#11', 'G^7', 'G^7/A', 'B-7', 'E7', 'Bb-^7', 'Eb7#11', 'A-7', 'C-7', 'F7', 'A-7', 'Ab7', 'G^7']"
Estate,Martino Bruno,Bossa Nova,B-,,0,0,,"(4, 4)","['B-7', 'B-7', 'E-7', 'F#7b9', 'B-7', 'B-7', 'E-7', 'A7', 'D7sus', 'D7', 'G^7', 'G^7', 'F#7', 'F#7#5', 'B-7', 'B-7', 'E-7', 'F#7b9', 'B-7', 'B-7', 'E-7', 'A7', 'D7sus', 'D7', 'G^7', 'G^7', 'F#7', 'F#7#5', 'B^7', 'B^7', 'Fh7', 'Bb7b9', 'Eb-7', 'Ab7b9', 'E-7', 'A7', 'D7sus', 'D7', 'G^7', 'G^7', 'F#7', 'F#7#5']"
Eternal Triangle,Stitt Sonny,Up Tempo Swing,Bb,,0,0,,"(4, 4)","['Bb^7', 'G-7', 'C-7', 'F7', 'D-7', 'G7', 'C-7', 'F7', 'F-7', 'Bb7', 'Eb7', 'Ab7', 'D-7', 'G7', 'C-7', 'F7', 'Bb^7', 'G-7', 'C-7', 'F7', 'D-7', 'G7', 'C-7', 'F7', 'F-7', 'Bb7', 'Eb7', 'Ab7', 'D-7', 'G7', 'C-7', 'F7', 'Bb^7', 'B-7', 'E7', 'Bb-7', 'Eb7', 'A-7', 'D7', 'Ab-7', 'Db7', 'G-7', 'C7', 'F#-7', 'B7', 'Bb^7', 'G-7', 'C-7', 'F7', 'D-7', 'G7', 'C-7', 'F7', 'F-7', 'Bb-7', 'Eb7', 'Ab7', 'D-7', 'G7', 'C-7', 'F7', 'Bb^7']"
Ev'ry Time We Say Goodbye,Porter Cole,Ballad,Eb,,0,0,,"(4, 4)","['Eb^7', 'Eb^7/Bb', 'Eb^', 'Eb7', 'Ab^', 'Ab-7', 'G-7', 'C7', 'F-7', 'Bb7', 'Eb^7', 'Ab7', 'G-7', 'C-7', 'B-7', 'Bb-7', 'Eb7', 'Ab-7', 'Db7', 'G-7', 'Gb7', 'F-7', 'Bb7', 'Bb-7', 'Eb7', 'Ab^7', 'Ab-7', 'Db7', 'G-7', 'C7', 'Gb7#11', 'F-7', 'Bb7', 'Eb^7', 'Eb^7/Bb', 'Eb^', 'Eb7', 'Ab^', 'Ab-7', 'G-7', 'C7', 'F-7', 'Bb7', 'Eb^7', 'Ab7', 'G-7', 'C-7', 'B-7', 'Bb-7', 'Eb7', 'Ab^7', 'Db7', 'G-7', 'Gb7', 'F-7', 'Bb7', 'Bb-7', 'Eb7', 'Ab^7', 'Db7', 'G7', 'C7', 'F-7', 'Bb7', 'Eb6', 'Eb6/Bb', 'Eb6', 'Eb6/Bb']"
Everybody Loves My Baby (dixieland Tunes),"Spencer Williams, Jack Palmer (1924)",Medium Swing,F,,Jazz-Medium Swing,100,3,"(4, 4)","['D-', 'A7', 'D-', 'A7', 'D-', 'D-', 'D-', 'A7', 'D-', 'A7', 'D-', 'A7', 'D-', 'D-', 'D-', 'A7', 'D-', 'D-', 'D-', 'D-7', 'G7', 'C7', 'F', 'A7', 'D-', 'D-', 'D-', 'D-', 'E7', 'E7', 'A7', 'C7', 'F7', 'F7', 'F7', 'F7', 'G7', 'G7', 'G7', 'C7', 'A7', 'D-', 'D-', 'D-', 'D-7', 'G7', 'C7', 'F', 'A7']"
Everybody Loves Somebody,Composer Unknown,Medium Swing,F,,Jazz-Medium Swing,100,3,"(4, 4)","['F', 'F+', 'Bb', 'D7', 'G-', 'Eb', 'C7', 'F', 'Abo', 'G-7', 'C7', 'C+', 'F', 'G-7', 'C7', 'F', 'F+', 'Bb', 'D7', 'G-', 'Eb', 'C7', 'F', 'Abo', 'G-7', 'C7', 'F', 'F7', 'C-7', 'F7', 'Bb', 'F+', 'Bb', 'Bbo', 'F', 'D-', 'A+', 'D-7', 'G7', 'G-7', 'Co', 'G-7', 'C7', 'F', 'F+', 'Bb', 'D7', 'G-', 'Eb', 'C7', 'F', 'Abo', 'G-7', 'C7', 'F']"
Everybody's Song But My Own,Wheeler Kenny,Waltz,C-,,0,0,,"(3, 4)","['F-9/Bb', 'G7b13/B', 'C-11', 'C-9/Bb', 'Ah7', 'D7#9#5', 'D7#9', 'G-11', 'B^7/Bb', 'G-11', 'G-11/F', 'Eh7', 'A7b9', 'D^9', 'G^7/D', 'D^9', 'G^7/D', 'D^9', 'C#h7', 'F#7b9', 'B-11', 'B-9/A', 'G#h7', 'C#7b9', 'F#^7#11', 'G-11/C', 'F^9', 'F#-11/B', 'F-9/Bb', 'G7b13/B', 'C-11', 'Eb^7/Bb', 'Ah7', 'D7#9#5', 'D7#9', 'G-11', 'Bb^7/F', 'Eh7', 'A7#9#5', 'D-11', 'Db^7#11', 'C-11', 'F#-9', 'B13#11', 'Bb^9', 'B^7/Bb', 'Bb^9', 'B^7/Bb', 'Bb^9', 'B^7/Bb', 'Bb^9', 'B^7/Bb', 'E^7#11', 'Eb-11']"
Everything Happens To Me,Dennis Matt,Ballad,Bb,,0,0,,"(4, 4)","['C-7', 'F7', 'D-7', 'Dbo7', 'C-7', 'F7', 'Dh7', 'G7', 'C-7', 'Eb-7', 'Ab7', 'D-7', 'G7', 'C-7', 'F7', 'D-7', 'G7', 'C-7', 'F7', 'D-7', 'Dbo7', 'C-7', 'F7', 'Dh7', 'G7', 'C-7', 'Eb-7', 'Ab7', 'D-7', 'G7', 'C-7', 'F7', 'Bb6', 'F-7', 'Bb7#9', 'Eb^7', 'C-7', 'F-7', 'Bb7b9', 'Eb^7', 'E-7', 'A7#9', 'D^7', 'G-7', 'C7', 'C-7', 'F7', 'C-7', 'F7', 'D-7', 'Dbo7', 'C-7', 'F7', 'Dh7', 'G7', 'C-7', 'Eb-7', 'Ab7', 'D-7', 'G7', 'C-7', 'F7', 'Bb6']"
Everything I Have Is Yours,Lane Burton,Ballad,C,,0,0,,"(4, 4)","['C^7', 'Eb-7', 'Ab7', 'D-7', 'G7', 'D-7', 'G7#5', 'C^7', 'Eb-7', 'Ab7', 'D-7', 'G7', 'Bh7', 'E7b9', 'A-7', 'A-^7/G#', 'A-7/G', 'D9/F#', 'E-7', 'A7', 'A-7', 'D7', 'D-7', 'G7', 'C^7', 'Eb-7', 'Ab7', 'D-7', 'G7', 'D-7', 'G7#5', 'C^7', 'G-7', 'C7', 'F^7', 'Bh7', 'E7b9', 'A-7', 'A-^7/G#', 'A-7/G', 'D7/F#', 'F-6', 'C^7', 'Eb-7', 'Ab7', 'D-7', 'G7', 'C^7', 'D-7', 'G7']"
Everything I Love,Porter Cole,Medium Swing,F,,0,0,,"(4, 4)","['F^7', 'B7#11', 'Bb^7', 'A-7', 'D7', 'G-7', 'C7', 'A-7', 'D7', 'G-7', 'C7', 'F6', 'Ab7', 'G-7', 'A-7', 'D7', 'Bb-7', 'Eb7', 'Ab^7', 'G-7', 'C7', 'F^7', 'B7#11', 'Bb^7', 'A-7', 'D7', 'Bh7', 'E7b9', 'A7', 'A7', 'D-7', 'Db-7', 'C-7', 'F7', 'Bb^7', 'D7#5', 'G-7', 'G#o7', 'A-7', 'D7', 'G-7', 'C7', 'F6', 'F6']"
Everything I've Got Belongs To You,Rodgers-Hart,Medium Swing,Eb,,0,0,,"(4, 4)","['Eb^7', 'Eb^7', 'Eb^7', 'Eb^7', 'Eb-7', 'Eb-7', 'Eb-7', 'Eb-7', 'F7', 'F7', 'Bb^7', 'Bb7', 'Eb^7', 'Bb7', 'Eb^7', 'Bb7', 'Eb^7', 'Eb^7', 'Eb^7', 'Eb^7', 'Eb-7', 'Eb-7', 'Eb-7', 'Eb-7', 'F7', 'F7', 'Bb^7', 'Bb7', 'Eb^7', 'Bb7', 'Eb^7', 'Eb^7', 'B', 'F#7', 'B', 'F#7', 'B', 'Eb', 'D7', 'G-7', 'Bb7', 'Eb^7', 'Eb^7', 'Eb^7', 'Eb^7', 'Eb-7', 'Eb-7', 'Eb-7', 'Eb-7', 'F7', 'F7', 'Bb^7', 'Bb7', 'Eb^7', 'Bb7', 'Eb^7', 'Eb^7']"
Everything Must Change,Ighner Bernard,Ballad,F-,,0,0,,"(4, 4)","['F-9', 'C7/E', 'F-9/Eb', 'D7b5', 'Db^7', 'Ab/C', 'Bb-7', 'Bb-7/Ab', 'Gh7', 'C7#9#5', 'F-9', 'C7/E', 'F-9/Eb', 'D7#9b5', 'Db^9', 'Ab/C', 'Bb-7', 'Bb-7/Ab', 'Gb^9#11', 'Eb13sus', 'Eb13b9', 'Ab^9', 'Gh7', 'C7b9#5', 'F-9', 'Bb9', 'Db^9', 'Ab^9/C', 'Bb-11', 'C7b9#5', 'F-11', 'F-9', 'C7/E', 'F-9/Eb', 'D7b5', 'Db^7', 'Ab/C', 'Bb-7', 'Bb-7/Ab', 'Gh7', 'C7#9#5', 'F-9', 'C7/E', 'F-9/Eb', 'D7#9b5', 'Db^9', 'Ab/C', 'Bb-7', 'Bb-7/Ab', 'Gb^9#11', 'Eb13sus', 'Eb13b9', 'Ab^9', 'Gh7', 'C7b9#5', 'F-9', 'Bb9', 'Db^9', 'Ab^9/C', 'Bb-11', 'C7b9#5', 'Db^9', 'Ab^9/C', 'Bb-11', 'Ab^9/C', 'Db^7', 'Ab^9/C', 'Bb-11', 'Gb^9#11']"
"Everywhere You Go, Sunshine Follows You","Larry Shay, Joseph Goodwin, Mark Fisher (1927)",Medium Swing,Eb,,Jazz-Medium Swing,100,3,"(4, 4)","['Eb', 'Eb^', 'Eb6', 'Eb', 'Eb', 'Eb', 'Gbo', 'Bb7', 'Bb7', 'F-', 'C+', 'F-', 'F-7', 'Bb7', 'Bb7', 'Bb+', 'Eb', 'Eb', 'G7', 'G7', 'C7', 'C7', 'F7', 'F7', 'Bb7', 'Bb7', 'Eb', 'G-', 'Bb-', 'C7', 'F7', 'Bb7', 'Eb', 'Eb']"
Evidence,Monk Thelonious,Medium Swing,Eb,,0,0,,"(4, 4)","['Eb^7', 'G-7', 'C7#11', 'F-7', 'Bb7#11', 'A7', 'Ab-7', 'Db7', 'F-7', 'F7#9#11', 'Eb^7', 'G-7', 'C7#11', 'F-7', 'Bb7#11', 'A7', 'Ab-7', 'Db7', 'F-7', 'F7#9#11', 'Bb-7', 'Eb7#11', 'Ab^7', 'Db7', 'C-7', 'G7#11', 'F7', 'Bb7#11', 'Eb^7', 'G-7', 'C7#11', 'F-7', 'Bb7#11', 'A7', 'Ab-7', 'Db7', 'F-7', 'F7#9#11']"
Exactly Like You,McHugh Jimmy,Medium Swing,C,,0,0,,"(4, 4)","['C6', 'C6', 'D7', 'D7', 'G7', 'G7', 'C6', 'D-7', 'G7', 'C6', 'C6', 'D7', 'D7', 'G7', 'G7', 'C6', 'C7', 'F^7', 'Bb7', 'C6', 'A-7', 'D-7', 'F-6', 'G7', 'E-7', 'Ebo7', 'D-7', 'G7', 'C6', 'C6', 'D7', 'D7', 'G7', 'G7', 'C6', 'D-7', 'G7']"
Exactly Like You (Dixieland Tunes),McHugh Jimmy,Medium Swing,Bb,,Jazz-Medium Swing,100,3,"(4, 4)","['Bb', 'Bb', 'C7', 'C7', 'F7', 'F7', 'Bb', 'C-7', 'F7', 'Bb', 'Bb', 'C7', 'C7', 'F7', 'F7', 'Bb', 'Bb', 'Bb7', 'Eb', 'Eb-', 'Bb', 'Bb', 'C-', 'F7', 'Bb', 'G7', 'C-7', 'F7', 'Bb', 'Bb', 'C7', 'C7', 'F7', 'F7', 'Bb', 'Bb']"
Eye of the Hurricane,Hancock Herbie,Up Tempo Swing,F-,,0,0,,"(4, 4)","['F-6', 'Bb6', 'Eb7sus', 'Ab7sus', 'Db^7', 'C7', 'Gb-7', 'Bb-', 'Eb7#9/F', 'Eb7#9/F', 'Eb7#9/F', 'Eb7#9/F', 'F-7', 'F-7', 'F-6', 'Bb6', 'Eb7sus', 'Ab7sus', 'Db^7', 'C7', 'A^7#11', 'C^7', 'Eb7#9/F', 'Eb7#9/F', 'Eb7#9/F', 'Eb7#9/F', 'F-7', 'F-7']"
"Eyes Of Texas, The",Composer Unknown,Medium Swing,F,,Jazz-Medium Swing,100,3,"(4, 4)","['F', 'F', 'F', 'F7', 'Bb', 'Bb', 'F', 'F', 'F', 'F', 'F', 'D7', 'G7', 'G7', 'C7', 'C7', 'C7', 'C7', 'F', 'F', 'Bb', 'Bb', 'A7', 'A7', 'Bb', 'Bb', 'F', 'D7', 'G7', 'C7', 'F', 'F']"
Fair And Square In Love,"'Fats' Waller, Andy Razaf, Ada Roeter (1938)",Medium Swing,Eb,,Jazz-Medium Swing,100,3,"(4, 4)","['Eb', 'Eb', 'Bb7', 'Bb7', 'C-', 'C-', 'G7', 'G7', 'Ab', 'Ao', 'Eb', 'C-', 'D7', 'D7', 'G-', 'Gbo', 'F-7', 'Bb7', 'Eb', 'Eb', 'Bb7', 'Bb7', 'C-', 'C-', 'G7', 'G7', 'Ab', 'Ao', 'Eb', 'C7', 'F7', 'Bb7', 'Eb', 'Eo', 'F-7', 'Bb7']"
"Faithful Hussar (Don't Cry My Love), The","Heinrich Frantzen, Thomas Marlow (1928)",Medium Swing,Eb,,Jazz-Medium Swing,100,3,"(4, 4)","['Eb', 'Eb', 'Bb7', 'Bb7', 'Bb7', 'Bb7', 'Eb', 'Eb', 'Eb7', 'Eb7', 'Ab', 'Ab', 'Eb', 'Eb', 'Bb7', 'Eb', 'Eb']"
Fall,Shorter Wayne,Ballad,E-,,Jazz-Ballad Swing,82,3,"(4, 4)","['F#7susadd3/C#', 'B13b9', 'E9sus', 'F7susadd3/C', 'F#7susadd3/C#', 'B13b9', 'E9sus', 'Eb^7#11', 'D^', 'D13b9', 'G-11', 'B-9', 'Ab^7#11', 'F#7susadd3', 'B13b9', 'E-11', 'C^7#11', 'C^7#11', 'C^7#11', 'C^7#11', 'C^7#11']"
Falling Grace,Swallow Steve,Even 8ths,Ab,,0,0,,"(4, 4)","['Ab^7', 'Ab^7', 'D7/F#', 'G-7', 'F-7', 'Bb7', 'Eb^7/G', 'D7/F#', 'G-7/F', 'C7/E', 'F^7', 'F#h7', 'B7b13', 'E-7', 'A-7', 'D7', 'G^7', 'C-7', 'C#o7', 'Bb^7/D', 'Eb^7', 'Eh7', 'A7b13', 'D-7', 'Db-7', 'C-7', 'F7', 'Bb^7', 'Eb^7', 'Ab^7', 'Eb^7', 'Ab^7', 'D7/F#', 'G-7', 'F-7', 'Bb7', 'Eb^7/G', 'D7/F#', 'G-7/F', 'C7/E', 'F^7', 'F#h7', 'B7b13', 'E-7', 'A-7', 'D7', 'G^7', 'C-7', 'C#o7', 'Bb^7/D', 'Eb^7', 'Eh7', 'A7b13', 'D-7', 'Db-7', 'C-7', 'F7', 'Bb^7', 'Eb^7', 'Ab^7', 'Db^7']"
Falling In Love Again,Hollander Frederick,Waltz,C,,0,0,,"(3, 4)","['C^7', 'C7', 'F^7', 'Dh7', 'C^7', 'Eh7/Bb', 'A7', 'D-7', 'G7', 'C6', 'D-7', 'G7', 'C^7', 'C7', 'F^7', 'Dh7', 'C^7', 'Eh7/Bb', 'A7', 'D-7', 'G7', 'C6', 'F#h7', 'B7', 'E7', 'Bh7', 'E7', 'A-7', 'A-7', 'D7', 'A-7', 'D7', 'D-7', 'G7', 'C^7', 'C7', 'F^7', 'Dh7', 'C^7', 'Eh7/Bb', 'A7', 'D-7', 'G7', 'C6', 'D-7', 'G7']"
Falling In Love With Love,Rodgers Richard,Waltz,Bb,,0,0,,"(3, 4)","['Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'C-7', 'C-7', 'F7', 'F7', 'C-7', 'C-7', 'F7', 'F7', 'Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'Ah7', 'Ah7', 'D7b9', 'D7b9', 'G-7', 'G-7', 'C7', 'C7', 'C-7', 'C-7', 'F7', 'F7', 'Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'C-7', 'C-7', 'F7', 'F7', 'C-7', 'C-7', 'F7', 'F7', 'Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'Ab7#11', 'Ab7#11', 'G7b9', 'G7b9', 'C-7', 'Bo7', 'C-7', 'F7', 'Bb^7', 'G-7', 'C-7', 'F7']"
Fantasy in D (or Ugetsu),Walton Cedar,Medium Up Swing,C,,0,0,,"(4, 4)","['D^9/A', 'E-7/A', 'D^9/A', 'E-7/A', 'D^9/A', 'E-7/A', 'E-7/A', 'E-7/A', 'E-7/A', 'E-7/A', 'E-7/A', 'C^9', 'D^9', 'C^9', 'D^9', 'Ab7#11', 'G^7', 'C#h7', 'F#7', 'B-7', 'C^9', 'B-7', 'E13', 'G^9', 'Gb13b9', 'Ab13b9/F', 'Bb13/E', 'Eb13#11/Eb', 'D^9', 'C^9', 'D^9', 'C^9', 'D^9', 'Ab7#11', 'G^7', 'C#h7', 'F#7', 'B-7', 'C^9', 'B-7', 'E13', 'G^9', 'Gb13b9', 'Ab13b9/F', 'Bb13/E', 'Eb13#11/Eb', 'D^9/A', 'E-7/A', 'Bb13/E', 'Eb13#11/Eb', 'D^9/A', 'E-7/A', 'Bb13/E', 'Eb13#11/Eb', 'D^9/A', 'E-7/A', 'C^9', 'D^9', 'C^9', 'D^9', 'Ab7#11', 'G^7', 'C#h7', 'F#7#11', 'B-7', 'C^9', 'B-7', 'E13', 'Bb-7', 'Eb9', 'D^9/A', 'E-7/A', 'D^9/A', 'E-7/A']"
Far Away Blues,George Brooks (AKA Fletcher Henderson) 1924,Medium Swing,Bb,,Jazz-Medium Swing,100,3,"(4, 4)","['Bb', 'F7', 'F7', 'Bb', 'D7', 'G-', 'C7', 'F7', 'Bb', 'F7', 'D7', 'G-', 'Eb', 'Eb-', 'Bb', 'G7', 'C-7', 'F7', 'Bb', 'Bb', 'Bb', 'Bo', 'F7', 'F7', 'F7', 'F7', 'Bbo', 'Bb', 'Bb', 'Bb7', 'Eb', 'Eo', 'Bb', 'F7', 'Bb', 'Eb', 'Bb']"
Farewell Blues (Dixieland Tunes),"Elmer Schoebel, Leon Rappolo, Paul Mares (1923)",Medium Swing,F,,Jazz-Medium Swing,100,3,"(4, 4)","['F', 'C7', 'F', 'F', 'F', 'C7', 'F', 'F', 'D7', 'D7', 'G-', 'Db7', 'F', 'C7', 'F', 'F', 'F7', 'F7', 'F7', 'F7', 'F7', 'F7', 'F7', 'F7', 'D7', 'D7', 'G-', 'Db7', 'F7', 'F7', 'F7', 'F7']"
Farmer's Trust,Metheny Pat,Waltz,C,,0,0,,"(3, 4)","['G^7', 'B-7', 'G/B', 'G/B', 'C#-7', 'F#7b9', 'F#7b9', 'F#7b9/B', 'B-', 'B-', 'A-7', 'D7sus', 'D7', 'F/G', 'G', 'F/G', 'Cadd9', 'Gsus', 'G', 'G7', 'Csus', 'C', 'C', 'E-7', 'C/E', 'C/E', 'Ab', 'Bb', 'Bb', 'Db/Eb', 'Eb', 'Db/Eb', 'Abadd9', 'G7#9#5', 'Gb69', 'Gh7/Db', 'C7b9', 'C7b9', 'F-9', 'C-9', 'G-11', 'Ab^7', 'Ab7', 'Ab7', 'Csus', 'C', 'C', 'Ab^7', 'Bb/Ab', 'Bb/Ab', 'Csus', 'C', 'C', 'D', 'G^7', 'B-7', 'G/B', 'G/B', 'C#-7', 'F#7b9', 'F#7b9', 'F#7b9/B', 'B-', 'B-', 'A-7', 'D7sus', 'D7', 'F/G', 'G', 'F/G', 'Cadd9', 'Gsus', 'G', 'G7', 'Csus', 'C', 'C', 'E-7', 'C/E', 'C/E', 'Ab', 'Bb', 'Bb', 'Db/Eb', 'Eb', 'Db/Eb', 'Abadd9', 'G7#9#5', 'Gb69', 'Gh7/Db', 'C7b9', 'C7b9', 'F-9', 'C-9', 'G-11', 'Ab^7', 'Ab7', 'Ab7', 'Csus', 'C', 'C', 'Ab^7', 'Bb/Ab', 'Bb/Ab', 'Csus', 'C', 'C', 'D', 'G^7', 'B-7', 'G/B', 'G/B', 'C#-7', 'F#7b9', 'F#7b9', 'F#7b9/B', 'B-', 'B-', 'A-7', 'D7sus', 'D7', 'F/G', 'G', 'F/G', 'Cadd9', 'Gsus', 'G', 'G7', 'Csus', 'C', 'C', 'E-7', 'C/E', 'C/E', 'Ab', 'Bb', 'Bb', 'Db/Eb', 'Eb', 'Db/Eb', 'Abadd9', 'G7#9#5', 'Gb69', 'Gh7/Db', 'C7b9', 'C7b9', 'F-9', 'C-9', 'G-11', 'Ab^7', 'Ab7', 'Ab7', 'Csus', 'C', 'C', 'Ab^7', 'Bb/Ab', 'Bb/Ab', 'Csus', 'C', 'C', 'C']"
