title,composer,style,key,transpose,comp_style,bpm,repeats,time_signature,chords
A Beautiful Friendship,Kahn Donald,Medium Swing,C,,0,0,,"(4, 4)","['C^7', 'Gb7#11', 'F^7', 'Eh7', 'A7b9', 'A-7', 'D7', 'D-7', 'G7', 'C^7', 'Gb7#11', 'F^7', 'Eh7', 'A7b9', 'A-7', 'D7', 'D-7', 'G7', 'G-7', 'C7', 'F^7', 'Bb7', 'E-7', 'A7', 'D7', 'G7#5', 'C^7', 'Gb7#11', 'F^7', 'Eh7', 'A7b9', 'D-7', 'G7', 'C6', 'A7', 'D7', 'G7']"
A Blossom Fell,Barnes-Cornelius,Ballad,Bb,,0,0,,"(4, 4)","['Bb6', 'Bo', 'C-7', 'F7', 'F7#5', 'Bb6', 'Bb^7/D', 'Dbo', 'C-7', 'F7', 'C-7', 'F7', 'Bb6', 'Bo', 'F7/C', 'F7', 'Bb6', 'Bo', 'C-7', 'F7', 'F7#5', 'Bb6', 'Bb7#5', 'Eb^7', 'Bb^7/D', 'C-7', 'Bb6', 'Bb7#5', 'Eb^7', 'Eb-6', 'Bb^7/D', 'Dbo7', 'C-7', 'F7', 'Bb6', 'C-7', 'F7']"
A Certain Smile,Fain-Webster,Medium Swing,F,,0,0,,"(4, 4)","['G-7', 'C7', 'F^7', 'F^7', 'G-7', 'C7', 'F^7', 'F^7', 'E-7', 'A7', 'D-7', 'G7', 'C^7', 'D-7', 'G7', 'G-7', 'C7', 'F', 'C7', 'G-7', 'C7', 'F^7', 'F^7', 'G-7', 'C7', 'F^7', 'F^7', 'A^7', 'Bb^7', 'D7', 'G-7', 'Bb-6', 'A7#5', 'F^7', 'D-7', 'G-7', 'C7', 'F^7', 'F^7']"
A Child Is Born,Jones Thad,Waltz,Bb,,0,0,,"(3, 4)","['Bb^7', 'Eb-/Bb', 'Bb^7', 'Eb-/Bb', 'Bb^7', 'Eb-/Bb', 'Ah7', 'D7#9', 'G-7', 'D7#5', 'G-7', 'D7#5', 'G-7', 'C7', 'F7sus', 'F7', 'Bb^7', 'Eb-/Bb', 'Bb^7', 'Eb-/Bb', 'Bb^7', 'D7', 'Eb^7', 'Ab7', 'Bb/F', 'Gb6', 'G-7', 'C7', 'F7sus', 'F7']"
A Felicidade,Jobim Antonio-Carlos,Bossa Nova,A-,,0,0,,"(4, 4)","['A-7', 'A-7', 'C^7', 'C^7', 'E-7', 'B7b9', 'E-7', 'A7', 'D-7', 'G7', 'A-7', 'A-7', 'C^7', 'C^7', 'E-7', 'B7b9', 'E-7', 'A7', 'D-7', 'G7', 'C^7', 'C^7', 'Bh7', 'E7b9', 'A-7', 'A-7', 'G-7', 'C7', 'F^7', 'D-7', 'A-7', 'D7', 'A-7', 'Bh7', 'E7b9', 'A-7', 'G7', 'C^7', 'F7', 'C^7', 'C^7', 'G-7', 'C7', 'F^7', 'F^7', 'D-7', 'G7', 'C^7', 'C^7', 'F#h7', 'B7b9', 'E-7', 'A7', 'D-7', 'G7', 'A-7', 'A-7/G', 'D7/F#', 'D-7/F', 'A-7', 'Bh7', 'E7b9', 'A-7', 'A-7']"
A Fine Romance,Kern Jerome,Medium Swing,C,,0,0,,"(4, 4)","['C6', 'C#o7', 'D-6', 'D#o7', 'E-7', 'A-7', 'D-7', 'G7', 'C6', 'Ebo7', 'D-7', 'G7', 'E-7', 'A7', 'D7', 'G7', 'C6', 'C#o7', 'D-6', 'D#o7', 'E-7', 'A-7', 'D-7', 'G7', 'C6', 'C7', 'F^7', 'F#h7', 'B7', 'E-7', 'A7', 'D-7', 'G7', 'C6', 'D-7', 'G7']"
A Flower Is A Lovesome Thing,Strayhorn Billy,Ballad,Db,,0,0,,"(4, 4)","['B7#11', 'B7#11', 'B7#11', 'B7#11', 'Bb7b13', 'Eb7', 'Ab7b13', 'Db7', 'D^7', 'Eb7', 'D^', 'Db6', 'B7#11', 'B7#11', 'B7#11', 'B7#11', 'Bb7b13', 'Eb7', 'Ab7b13', 'Db7', 'D^7', 'Eb7', 'D^', 'Db6', 'Eb-7', 'Ab7#5', 'Db^7', 'E-7', 'A7b9', 'D^7', 'G#h7', 'C#7#5', 'D^7', 'Ab7#11', 'G7#11', 'Gb^7', 'Ab7#11', 'B7#11', 'B7#11', 'B7#11', 'B7#11', 'Bb7b13', 'Eb7', 'Ab7b13', 'Db7', 'D^7', 'Eb7', 'D^', 'Db6']"
A Foggy Day,Gershwin George,Medium Swing,F,,0,0,,"(4, 4)","['F^7', 'F#o7', 'G-7', 'C7', 'F^7', 'Dh7', 'G7', 'C7', 'F^7', 'C-7', 'F7', 'Bb^7', 'Eb7', 'A-7', 'D7', 'G7', 'C7', 'F^7', 'F#o7', 'G-7', 'C7', 'F^7', 'Dh7', 'G7', 'C7', 'C-7', 'F7', 'Bb^7', 'Eb7', 'F6', 'G-7', 'A-7', 'Bb-6', 'A-7', 'D7', 'G-7', 'C7', 'F6', 'G-7', 'C7']"
A Ghost Of A Chance,Young Victor,Ballad,C,,0,0,,"(4, 4)","['C^7', 'Db7#11', 'G-7', 'C7', 'F-7', 'Bb7', 'E-7', 'Ebo7', 'D-7', 'G7', 'E7', 'A7', 'D-7', 'G7', 'C^7', 'Db7#11', 'G-7', 'C7', 'F-7', 'Bb7', 'E-7', 'Ebo7', 'D-7', 'G7', 'C^7', 'Eh7', 'A7b9', 'D-7', 'G7#5', 'C^7', 'G7', 'C^7', 'A-7', 'F#h7', 'B7b9', 'E-7', 'A7', 'D-7', 'G7#5', 'C^7', 'Db7#11', 'G-7', 'C7', 'F-7', 'Bb7', 'E-7', 'Ebo7', 'D-7', 'G7', 'C^7', 'A-7', 'D-7', 'G7']"
A Kiss To Build A Dream On,Kalmar-Ruby-Hammerstein,Medium Swing,C,,0,0,,"(4, 4)","['C^7', 'G+', 'C^7', 'Ebo7', 'G7', 'C#o7', 'G7', 'C#o7', 'G7', 'C#o7', 'G7', 'D-7', 'G7', 'C^7', 'D7', 'G+', 'C^7', 'G+', 'C^7', 'Ebo7', 'G7', 'C#o7', 'G7', 'C#o7', 'G7', 'C#o7', 'G7', 'D-7', 'G7', 'C^7', 'D-7', 'Ebo7', 'C^7/E', 'F-7', 'Bb7', 'Eb^7', 'Eo7', 'F-7', 'Bb7', 'Eb^7', 'Dh7', 'G7', 'C-7', 'C-7/Bb', 'A-7', 'D7', 'D-7', 'G7', 'C^7', 'D-7', 'E-7', 'Ebo7', 'G7', 'C#o7', 'G7', 'C#o7', 'G7', 'C#o7', 'G7', 'D-7', 'G7', 'C^7', 'C^7']"
A Little Tear,Deodato-Valle,Bossa Nova,Db,,0,0,,"(4, 4)","['Eb9', 'Eb-7', 'Db^7', 'Db^7', 'Eb-7', 'Eb-7', 'Db^7', 'Bb7b9b5', 'Eb9', 'Eb-7', 'Db^7', 'Db^7', 'Eb-7', 'Eb-7', 'Db^7', 'Db^7', 'F-9', 'F-9', 'Eb^7', 'Eb^7', 'F-9', 'F-9', 'B7sus', 'F^7', 'Eb9sus', 'Eb9', 'Ab9sus', 'Ab9', 'Fh7', 'Bb7b9sus', 'Bb7b9#5', 'Eb-7', 'Ab9sus', 'Ab9', 'Db^7', 'Ab9sus']"
A Lovely Way To Spend An Evening,McHugh Jimmy,Ballad,F,,0,0,,"(4, 4)","['Bb^7', 'G-7', 'C7', 'A-7', 'D-7', 'G-7', 'C7', 'F^7', 'C-7', 'F7', 'Bb^7', 'G-7', 'C7', 'A-7', 'D-7', 'G-7', 'C7', 'F6', 'C-7', 'F7', 'Bb^7', 'Eb9', 'A-7', 'D-7', 'G-7', 'C7', 'F^7', 'Eh7', 'A7b9', 'D-7', 'G7', 'C7', 'C-7', 'F7', 'Bb^7', 'G-7', 'C7', 'A-7', 'D-7', 'G-7', 'C7', 'F^7', 'C-7', 'F7']"
A Night In Tunisia,Gillespie Dizzy,Latin,D-,,0,0,,"(4, 4)","['Eb7', 'D-', 'Eb7', 'D-', 'Eb7', 'D-', 'Eh7', 'A7b9', 'D-', 'Eb7', 'D-', 'Eb7', 'D-', 'Eb7', 'D-', 'Eh7', 'A7b9', 'D-', 'Ah7', 'D7b9', 'G-7', 'G-7', 'Gh7', 'C7b9', 'F^7', 'Eh7', 'A7b9', 'Eb7', 'D-', 'Eb7', 'D-', 'Eb7', 'D-', 'Eh7', 'A7b9', 'D-', 'Eb7', 'D-', 'Eb7', 'D-', 'Eb7', 'D-', 'Eh7', 'A7b9', 'D-', 'Eb7', 'D-', 'Eb7', 'D-', 'Eb7', 'D-', 'Eh7', 'A7b9', 'D-', 'Ah7', 'D7b9', 'G-7', 'G-7', 'Gh7', 'C7b9', 'F^7', 'Eh7', 'A7b9', 'Eb7', 'D-', 'Eb7', 'D-', 'Eb7', 'D-', 'Eh7', 'A7b9', 'D-', 'Eh7', 'Eh7', 'Eb7#11', 'Eb7#11', 'D-7', 'D-7', 'G7#11', 'G7#11', 'G-^7', 'G-7', 'Gb7#9', 'Gb7#9', 'F^7', 'F^7', 'Eh7', 'A7b9']"
A Nightingale Sang In Berkeley Square,Sherwin Manning,Ballad,Eb,,0,0,,"(4, 4)","['Eb^7', 'C-7', 'G-7', 'Bb-7', 'Eb7', 'Ab^7', 'Dh', 'G7', 'C-', 'Ab-6', 'Eb^7/Bb', 'F-7', 'Eb^7/G', 'Ab-7', 'Db7', 'Eb^7', 'C-7', 'F-7', 'Bb7', 'Eb^7', 'C-7', 'F-7', 'Bb7', 'Eb^7', 'Ah7', 'D7', 'G^7', 'E-7', 'A-7', 'D7', 'B-7', 'Bbo7', 'A-7', 'D7', 'G^7', 'E-7', 'A-7', 'D7', 'B-7', 'E-7', 'F-7', 'Bb7', 'Eb^7', 'C-7', 'G-7', 'Bb-7', 'Eb7', 'Ab^7', 'Dh', 'G7', 'C-', 'Ab-6', 'Eb^7/Bb', 'F-7', 'Eb^7/G', 'Ab-7', 'Db7', 'Eb^7', 'C-7', 'F-7', 'Bb7', 'Eb^7', 'C-7', 'F-7', 'Bb7']"
A Pretty Girl Is Like A Melody,Berlin Irving,Medium Swing,G,,0,0,,"(4, 4)","['A7', 'Bb13', 'A7', 'A-9', 'D7', 'F#/G', 'G', 'F#/G', 'G', 'G^9', 'G^9', 'D-7', 'G7', 'C6', 'F9', 'G^7', 'A7', 'A7', 'D9', 'D9', 'C9', 'B7', 'Bb7', 'A7', 'Bb13', 'A7', 'A-9', 'D7', 'F#/G', 'G', 'D-7', 'G7', 'C^7', 'E7/B', 'A-7', 'C#-7', 'F#7', 'B7', 'B-7', 'E7', 'A-7', 'A-7', 'Eb13', 'D7', 'G6', 'A-7', 'D7']"
