title,composer,style,key,transpose,comp_style,bpm,repeats,time_signature,notes_numbers
If I Were A Bell,Loesser Frank,Medium Up Swing,F,,0,0,,"(4, 4)","[[7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [9, 12, 15, 19], [2, 6, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 14], [9, 5, 12, 15], [10, 14, 17, 19], [0, 4, 7, 10], [5, 9, 12, 14], [4, 7, 10, 14], [9, 13, 16, 19], [2, 5, 9, 12], [0, 2, 5, 9, 12], [11, 14, 17, 21], [4, 8, 11, 14], [9, 13, 16, 20], [7, 10, 14, 17], [0, 4, 7, 10], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [9, 12, 15, 19], [2, 6, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 14], [9, 5, 12, 15], [10, 14, 17, 19], [11, 14, 17, 20], [0, 5, 9, 12, 14], [10, 14, 17, 20], [9, 12, 15, 19], [2, 6, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 14], [9, 12, 15, 19], [2, 6, 9, 12]]"
If There Is Someone Lovelier,Dietz-Schwartz,Ballad,C,,0,0,,"(4, 4)","[[0, 4, 7, 11], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [2, 5, 9, 12], [7, 11, 14, 17], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 17], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [0, 4, 7, 10], [5, 9, 12, 16], [7, 11, 14, 17], [0, 4, 7, 11], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [0, 4, 7, 10], [11, 14, 17, 21], [4, 8, 11, 14], [9, 12, 16, 19], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [2, 5, 9, 12], [7, 11, 14, 17], [4, 7, 10, 14], [9, 13, 16, 19], [2, 5, 9, 12], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [0, 4, 7, 11]]"
If You Could See Me Now,Dameron Tadd,Ballad,Eb,,0,0,,"(4, 4)","[[3, 7, 10, 14], [8, 12, 15, 18], [3, 7, 10, 14], [8, 12, 15, 18], [7, 10, 14, 17], [6, 9, 13, 16], [11, 15, 18, 21], [5, 8, 12, 15], [10, 14, 17, 20], [1, 5, 8, 11, 15, 19], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [8, 12, 15, 18], [3, 7, 10, 14], [8, 12, 15, 18], [7, 10, 14, 17], [6, 9, 13, 16], [11, 15, 18, 21], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 12], [8, 11, 15, 17], [3, 7, 10, 12], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [4, 8, 11, 14], [9, 12, 16, 19], [2, 6, 9, 12], [11, 14, 18, 21], [4, 8, 11, 14], [9, 12, 16, 19], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [7, 10, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [8, 12, 15, 18], [3, 7, 10, 14], [8, 12, 15, 18], [7, 10, 14, 17], [6, 9, 13, 16], [11, 15, 18, 21], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 12], [5, 8, 12, 15], [10, 14, 17, 20]]"
If You Ever Should Leave,Cahn-Chaplin,Medium Swing,C,,0,0,,"(4, 4)","[[0, 4, 7], [0, 4, 7], [9, 13, 16, 19], [9, 13, 16, 19], [2, 6, 9, 12], [2, 6, 9, 12], [7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12], [2, 6, 9, 12], [2, 6, 9, 12], [7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7], [0, 4, 7], [9, 13, 16, 19], [9, 13, 16, 19], [2, 6, 9, 12], [7, 11, 14, 17], [0, 4, 7], [0, 4, 7]]"
If You Never Come To Me,Jobim Antonio-Carlos,Bossa Nova,C,,0,0,,"(4, 4)","[[0, 4, 7, 11], [11, 15, 18, 22], [10, 14, 17, 21, 28], [9, 13, 16, 19, 22], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [5, 8, 12, 15], [10, 14, 17, 20], [4, 8, 11, 14], [9, 13, 16, 19], [2, 6, 9, 12, 17], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 15], [0, 4, 7, 11], [1, 5, 8, 11, 15, 19]]"
Ill Wind,Arlen Harold,Ballad,Bb,,0,0,,"(4, 4)","[[10, 14, 17, 19, 24], [4, 8, 11, 14, 18, 22], [9, 12, 15, 19], [2, 6, 9, 12, 16, 20], [7, 11, 14, 17, 21, 24, 28], [5, 7, 11, 14, 17], [3, 6, 10, 13], [8, 12, 15, 18, 22], [9, 13, 16, 19, 23], [10, 14, 17, 21], [7, 11, 14, 17, 20], [0, 3, 7, 10], [5, 9, 12, 15, 18], [10, 14, 17, 19, 24], [8, 12, 15, 18, 22], [6, 10, 13, 16, 20], [5, 9, 12, 15, 19], [10, 14, 17, 19, 24], [1, 5, 8, 11, 15], [6, 10, 13, 17], [5, 10, 12, 15], [10, 14, 17, 19, 24], [3, 7, 10, 13, 17], [10, 14, 17, 20, 24, 27, 31], [3, 7, 10, 13, 17], [2, 6, 9, 12], [4, 7, 11, 14], [5, 8, 11, 14], [6, 9, 12, 16], [7, 11, 14, 17, 21], [8, 12, 15, 18, 22], [7, 11, 14, 17, 21], [2, 6, 9, 12], [4, 7, 11, 14], [5, 8, 11, 14], [6, 9, 12, 16], [7, 12, 14, 17, 21, 23], [7, 11, 14, 17, 21, 24, 28], [0, 3, 6, 10], [5, 9, 12, 15, 19], [10, 14, 17, 19, 24], [4, 8, 11, 14, 18, 22], [9, 12, 15, 19], [2, 6, 9, 12, 16, 20], [7, 11, 14, 17, 21, 24, 28], [5, 7, 11, 14, 17], [3, 6, 10, 13], [8, 12, 15, 18, 22], [9, 13, 16, 19, 23], [10, 14, 17, 19, 24], [7, 11, 14, 17, 20], [0, 3, 7, 10], [5, 9, 12, 15, 18], [10, 14, 17, 19, 24], [8, 12, 15, 18, 22], [6, 10, 13, 16, 20], [5, 9, 12, 15, 19], [10, 14, 17, 19, 24], [1, 5, 8, 11, 15], [6, 10, 13], [5, 9, 12, 15, 19], [3, 7, 10, 13, 21, 20, 24]]"
Imagination,Van-Heusen Jimmy,Ballad,Eb,,0,0,,"(4, 4)","[[3, 7, 10, 14], [4, 7, 10, 13], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [8, 12, 15, 19], [7, 10, 13, 17], [0, 4, 7, 10, 13], [5, 8, 12, 15], [0, 4, 7, 10, 14, 17, 21], [5, 8, 12, 15], [10, 14, 17, 20], [7, 11, 14, 17], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [4, 7, 10, 13], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [8, 12, 15, 19], [7, 10, 13, 17], [0, 4, 7, 10, 13], [5, 8, 12, 15], [0, 4, 7, 10, 14, 17, 21], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [10, 13, 17, 20], [3, 7, 10, 13], [8, 12, 15, 19], [5, 8, 12, 15], [9, 12, 15, 19], [2, 6, 9, 12, 15], [7, 10, 14, 17], [0, 4, 7, 10], [1, 9, 13, 16, 19, 22], [2, 5, 9, 12], [7, 10, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [10, 15, 17, 20], [10, 14, 18, 20], [3, 7, 10, 14], [4, 7, 10, 13], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [8, 12, 15, 19], [7, 10, 13, 17], [0, 4, 7, 10, 13], [5, 8, 12, 15], [0, 4, 7, 10, 14, 17, 21], [5, 8, 12, 15], [10, 14, 17, 20], [1, 5, 8, 11, 15, 19], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 12], [5, 8, 12, 15], [10, 14, 17, 20]]"
Impressions,Coltrane John,Up Tempo Swing,D-,,0,0,,"(4, 4)","[[2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [3, 6, 10, 13, 17, 20], [3, 6, 10, 13, 17, 20], [3, 6, 10, 13, 17, 20], [3, 6, 10, 13, 17, 20], [3, 6, 10, 13, 17, 20], [3, 6, 10, 13, 17, 20], [3, 6, 10, 13, 17, 20], [3, 6, 10, 13, 17, 20], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19], [2, 5, 9, 12, 16, 19]]"
In A Little Spanish Town,Wayne-Lewis-Young,Medium Swing,G,,0,0,,"(4, 4)","[[7, 11, 14, 18], [7, 11, 14, 18], [9, 12, 16, 19], [2, 6, 9, 12], [2, 6, 9, 12], [2, 6, 9, 12], [7, 11, 14, 16], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [10, 13, 16, 19], [9, 12, 16, 19], [2, 6, 9, 12], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [7, 11, 14, 18], [9, 12, 16, 19], [2, 6, 9, 12], [11, 15, 18, 21, 24], [11, 15, 18, 21, 24], [4, 8, 11, 14], [4, 8, 11, 14], [4, 8, 11, 14], [4, 8, 11, 14], [9, 13, 16, 19], [10, 13, 16, 19], [7, 11, 14, 18], [2, 6, 9, 12], [7, 11, 14, 16], [9, 12, 16, 19], [2, 6, 9, 12]]"
In A Mellow Tone (In A Mellotone),Ellington Duke,Medium Swing,Ab,,0,0,,"(4, 4)","[[10, 14, 17, 20], [3, 7, 10, 13], [8, 12, 15, 17], [8, 12, 15, 17], [3, 6, 10, 13], [8, 12, 15, 18], [1, 5, 8, 12], [1, 5, 8, 12], [1, 5, 8, 10], [6, 10, 13, 16], [8, 12, 15, 17], [5, 9, 12, 15], [10, 14, 17, 20], [10, 14, 17, 20], [3, 7, 10, 13], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10, 13], [8, 12, 15, 17], [8, 12, 15, 17], [3, 6, 10, 13], [8, 12, 15, 18], [1, 5, 8, 12], [1, 5, 8, 12], [1, 5, 8, 11], [2, 5, 8, 11], [3, 8, 12, 15, 17], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10, 13], [8, 12, 15, 17], [5, 9, 12, 15]]"
In a Sentimental Mood,Ellington Duke,Ballad,D-,,0,0,,"(4, 4)","[[2, 5, 9], [2, 5, 9, 13], [2, 5, 9, 12], [2, 5, 9, 11], [7, 10, 14], [7, 10, 14, 18], [7, 10, 14, 17], [7, 10, 14, 17], [9, 13, 16, 19], [2, 5, 9], [2, 6, 10, 12, 16], [7, 10, 14, 17], [0, 4, 7, 10, 13], [5, 9, 12, 14], [4, 7, 10], [9, 13, 16, 19], [2, 5, 9], [2, 5, 9, 13], [2, 5, 9, 12], [2, 5, 9, 11], [7, 10, 14], [7, 10, 14, 18], [7, 10, 14, 17], [7, 10, 14, 17], [9, 13, 16, 19], [2, 5, 9], [2, 6, 10, 12, 16], [7, 10, 14, 17], [0, 4, 7, 10, 13], [5, 9, 12, 14], [3, 6, 10, 13], [8, 12, 15, 18], [1, 5, 8, 12], [10, 13, 17, 20], [3, 6, 10, 13], [8, 12, 15, 18], [1, 5, 8, 10], [10, 14, 18, 20], [3, 6, 10, 13], [8, 12, 15, 18], [1, 5, 8, 12], [10, 13, 17, 20], [3, 6, 10, 13], [8, 12, 15, 18], [7, 10, 14, 17], [0, 4, 7, 10], [2, 5, 9], [2, 5, 9, 13], [2, 5, 9, 12], [2, 5, 9, 11], [7, 10, 14], [7, 10, 14, 18], [7, 10, 14, 17], [7, 10, 14, 17], [9, 13, 16, 19], [2, 5, 9], [2, 6, 10, 12, 16], [7, 10, 14, 17], [0, 4, 7, 10, 13], [5, 9, 12, 14], [4, 7, 10], [9, 13, 16, 19]]"
In A Shanty In Old Shanty Town,Little-Siras,Waltz,F,,0,0,,"(3, 4)","[[5, 9, 12, 16], [9, 13, 16, 19], [2, 6, 9, 12], [2, 6, 9, 12], [7, 11, 14, 17], [6, 10, 13, 16], [7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12, 14], [5, 9, 12, 14], [2, 6, 9, 12], [7, 11, 14, 17], [7, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [9, 13, 16, 19], [2, 6, 9, 12], [2, 6, 9, 12], [7, 11, 14, 17], [6, 10, 13, 16], [7, 11, 14, 17], [7, 11, 14, 17], [10, 14, 17, 19], [10, 13, 17, 19], [5, 9, 12, 16], [9, 13, 16, 19], [2, 6, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 14], [0, 4, 7, 10]]"
In Her Family,Metheny Pat,Even 8ths,E,,0,0,,"(4, 4)","[[8, 11, 15, 18, 22], [-6, 2, 9, 13], [4, 8, 11, 15, 18], [3, 6, 10, 13], [1, 4, 8, 11], [4, 8, 11, 15, 18], [6, 8, 13], [4, 8, 11, 15, 18], [1, 4, 8, 11], [8, 11, 15, 18, 22], [10, 6, 13], [9, 13, 16, 23], [8, 4, 11], [5, 10, 14, 17, 21, 28], [4, 8, 11], [2, 10, 14, 17, 21, 28], [4, 8, 11], [10, 14, 17, 21, 28], [4, 8, 11], [8, 11, 15, 18, 22], [-6, 2, 9, 13], [4, 8, 11, 15, 18], [3, 6, 10, 13], [1, 4, 8, 11], [4, 8, 11, 15, 18], [6, 8, 13], [4, 8, 11, 15, 18], [1, 4, 8, 11], [8, 11, 15, 18, 22], [10, 6, 13], [9, 13, 16, 23], [8, 4, 11], [5, 10, 14, 17, 21, 28], [4, 8, 11], [2, 10, 14, 17, 21, 28], [4, 8, 11], [10, 14, 17, 21, 28], [4, 8, 11], [0, 4, 7, 11], [0, 2, 6, 9], [10, 14, 17, 21], [-2, 0, 4, 7], [8, 12, 15, 19], [2, 4, 8, 11], [6, 9, 13, 16], [6, 9, 13, 16], [3, 6, 10, 13, 17], [10, 13, 17, 20, 24, 27], [2, 5, 9, 12, 16], [9, 12, 16, 19, 23, 26], [1, 4, 8, 11, 15], [8, 11, 15, 18, 22], [4, 8, 11, 15, 22], [4, 8, 11, 15, 22], [8, 11, 15, 18, 22], [-6, 2, 9, 13], [4, 8, 11, 15, 18], [3, 6, 10, 13], [1, 4, 8, 11], [4, 8, 11, 15, 18], [6, 8, 13], [4, 8, 11, 15, 18], [1, 4, 8, 11], [8, 11, 15, 18, 22], [10, 6, 13], [9, 13, 16, 23], [8, 4, 11], [5, 10, 14, 17, 21, 28], [4, 8, 11], [2, 10, 14, 17, 21, 28], [4, 8, 11], [10, 14, 17, 21, 28], [4, 8, 11], [5, 10, 14, 17, 21, 28], [4, 8, 11], [4, 8, 11]]"
In Love In Vain,Leo Robin Jerome Kern,Medium Swing,Bb,,0,0,,"(4, 4)","[[10, 14, 17, 21], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [2, 5, 9, 12], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [0, 3, 7, 10], [2, 5, 9, 12], [7, 11, 14, 17], [0, 3, 7, 10], [-2, 0, 3, 7], [9, 12, 15, 19], [2, 6, 9, 12, 15], [7, 10, 14, 17], [7, 11, 14, 17, 20], [0, 4, 7, 10, 14], [0, 4, 7, 10, 14], [0, 3, 7, 10], [5, 9, 12, 15], [4, 7, 11, 14], [3, 6, 10, 13], [2, 5, 9, 12], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [0, 3, 7, 10], [2, 5, 9, 12], [7, 11, 14, 17], [3, 7, 10, 14], [3, 6, 10, 13], [2, 5, 9, 12], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [0, 3, 7, 10], [5, 9, 12, 15]]"
In Pursuit Of The 27th Man,Silver Horace,Latin,C,,0,0,,"(4, 4)","[[0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [7, 11, 14, 17, 22], [0, 3, 7, 10], [0, 3, 7, 10], [6, 10, 13, 16], [7, 11, 14, 17, 22], [8, 12, 15, 18], [7, 11, 14, 17, 22], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13], [0, 5, 7, 10, 13]]"
"In The Cool, Cool, Cool Of The Evening",Carmichael Hoagy,Medium Swing,F,,0,0,,"(4, 4)","[[2, 6, 9, 11], [7, 11, 14, 16], [2, 6, 9, 11], [7, 11, 14, 16], [2, 6, 9, 11], [7, 11, 14, 16], [2, 6, 9, 11], [3, 7, 10, 12], [8, 12, 15, 17], [3, 7, 10, 12], [8, 12, 15, 17], [3, 7, 10, 12], [8, 12, 15, 17], [3, 7, 10, 12], [5, 9, 12, 15], [10, 14, 17, 19], [5, 9, 12, 15], [10, 14, 17, 19], [7, 11, 14, 17], [0, 4, 7, 9], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 14], [5, 9, 12, 14], [5, 9, 12, 14], [6, 9, 12, 15], [7, 10, 14, 17], [0, 4, 7, 10], [0, 4, 7, 10], [0, 4, 7, 10], [0, 4, 7, 10, 13], [5, 9, 12, 14], [0, 4, 7, 10], [5, 9, 12, 14], [5, 9, 12, 14], [5, 9, 12, 14], [10, 14, 17, 21], [10, 14, 17, 19], [3, 7, 10, 13], [5, 9, 12, 14], [2, 6, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 14]]"
In The Middle Of A Kiss,Coslow Sam,Medium Swing,Bb,,0,0,,"(4, 4)","[[7, 10, 14, 17], [5, 8, 12, 15, 19], [3, 7, 10, 13, 17], [2, 6, 10, 12], [7, 10, 14, 17], [0, 4, 7, 10, 14], [5, 8, 12, 15], [10, 14, 17, 20, 24], [3, 7, 10, 14], [2, 5, 8, 12], [7, 11, 14, 17], [0, 3, 7, 10], [-2, 0, 3, 7], [9, 12, 15, 19], [8, 11, 15, 17, 22], [7, 10, 14, 17], [0, 4, 7, 10, 14], [0, 3, 7, 10], [5, 9, 12, 15, 19, 22, 26], [10, 13, 16, 19], [10, 14, 17, 21], [10, 14, 17, 21], [9, 10, 14, 17, 21], [7, 10, 14, 17], [7, 10, 13, 17], [0, 4, 7, 10, 14, 17, 21], [0, 3, 7, 10], [5, 9, 12, 15], [9, 12, 15, 19], [2, 6, 9, 12, 15], [7, 10, 14, 17], [5, 8, 12, 15, 19], [3, 7, 10, 13, 17], [2, 6, 10, 12], [7, 10, 14, 17], [0, 4, 7, 10, 14], [5, 8, 12, 15], [10, 14, 17, 20, 24], [3, 7, 10, 14], [2, 5, 8, 12], [7, 11, 14, 17], [0, 3, 7, 10], [11, 15, 18, 21, 25], [10, 15, 17, 20], [10, 14, 17, 20], [3, 7, 10, 14], [3, 6, 10, 13], [8, 12, 15, 18, 22, 25, 29], [10, 14, 17, 21], [8, 12, 15, 18, 22, 26], [7, 11, 14, 17, 21], [0, 3, 7, 10], [2, 5, 9, 12], [3, 7, 10, 14], [5, 9, 12, 15, 19], [10, 14, 17, 19, 24], [3, 7, 10, 13, 17], [2, 6, 10, 12], [7, 10, 14, 17], [5, 8, 12, 15, 19], [3, 7, 10, 13, 17], [2, 6, 10, 12], [7, 10, 14, 17], [0, 4, 7, 10, 14], [5, 8, 12, 15], [10, 14, 17, 20, 24], [3, 7, 10, 14], [2, 5, 8, 12], [7, 11, 14, 17], [0, 3, 7, 10], [-2, 0, 3, 7], [9, 12, 15, 19], [8, 11, 15, 17, 22], [7, 10, 14, 17], [0, 4, 7, 10, 14], [0, 3, 7, 10], [5, 9, 12, 15, 19, 22, 26], [10, 13, 16, 19], [10, 14, 17, 21], [10, 14, 17, 21], [9, 10, 14, 17, 21], [7, 10, 14, 17], [7, 10, 13, 17], [0, 4, 7, 10, 14, 17, 21], [0, 3, 7, 10], [5, 9, 12, 15], [9, 12, 15, 19], [2, 6, 9, 12, 15], [7, 10, 14, 17], [5, 8, 12, 15, 19], [3, 7, 10, 13, 17], [2, 6, 10, 12], [7, 10, 14, 17], [0, 4, 7, 10, 14], [5, 8, 12, 15], [10, 14, 17, 20, 24], [3, 7, 10, 14], [2, 5, 8, 12], [7, 11, 14, 17], [0, 3, 7, 10], [11, 15, 18, 21, 25], [10, 15, 17, 20], [10, 14, 17, 20], [3, 7, 10, 14], [3, 6, 10, 13], [8, 12, 15, 18, 22, 25, 29], [10, 14, 17, 21], [8, 12, 15, 18, 22, 26], [7, 11, 14, 17, 21], [0, 3, 7, 10], [2, 5, 9, 12], [3, 7, 10, 14], [5, 9, 12, 15, 19], [10, 14, 17, 19, 24], [3, 7, 10, 13, 17], [2, 6, 10, 12], [8, 12, 15, 18, 22, 25, 29], [7, 11, 14, 17, 21], [0, 3, 7, 10], [2, 5, 9, 12], [3, 7, 10, 14], [5, 9, 12, 15, 19], [10, 14, 17, 19, 24], [-2, 3, 6, 12], [10, 14, 17, 19, 24]]"
In The Still Of The Night,Porter Cole,Up Tempo Swing,F,,0,0,,"(4, 4)","[[5, 9, 12, 16], [5, 9, 12, 16], [10, 14, 17, 20], [10, 14, 17, 20], [5, 9, 12, 16], [5, 9, 12, 16], [10, 14, 17, 20], [10, 14, 17, 20], [7, 10, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [10, 14, 17, 20], [10, 14, 17, 20], [5, 9, 12, 16], [5, 9, 12, 16], [10, 14, 17, 20], [4, 8, 11, 14, 17], [9, 12, 16], [9, 12, 16], [11, 14, 17, 21], [4, 8, 11, 14, 17], [9, 12, 16], [9, 12, 16], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [10, 14, 17, 20], [10, 14, 17, 20], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [5, 9, 12, 16], [5, 9, 13, 16], [10, 14, 17, 20], [10, 14, 17, 20], [0, 4, 7, 10], [0, 4, 7, 10], [9, 12, 15, 19], [9, 12, 15, 19], [2, 6, 9, 12], [2, 6, 9, 12], [7, 10, 14], [7, 10, 14], [10, 13, 17, 19], [10, 13, 17, 19], [5, 9, 12, 16], [5, 9, 12, 16], [5, 8, 11, 14], [5, 8, 11, 14], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12, 16], [5, 9, 12, 16], [5, 8, 11, 14], [5, 8, 11, 14], [7, 10, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12, 14], [5, 9, 12, 14], [10, 14, 17, 20], [10, 14, 17, 20]]"
In The Wee Small Hours Of The Morning,Mann-Hilliard,Ballad,C,,0,0,,"(4, 4)","[[0, 4, 7, 11], [0, 4, 7, 10], [0, 4, 7, 9], [0, 4, 8], [0, 4, 7, 11], [0, 4, 8], [2, 5, 9, 12], [7, 11, 14, 17], [2, 5, 9, 12], [7, 11, 14, 17], [4, 7, 10, 14], [9, 13, 16, 19], [6, 9, 12, 16], [11, 15, 18, 21], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [0, 4, 7, 10], [0, 4, 7, 9], [0, 4, 8], [0, 4, 7, 11], [4, 7, 10, 14], [9, 13, 16, 19], [2, 5, 9, 12], [3, 6, 9, 12], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [8, 12, 15, 18, 22, 26], [7, 11, 14, 17], [0, 4, 7, 9], [2, 5, 9, 12], [7, 11, 14, 17]]"
In Walked Bud,Monk Thelonious,Medium Up Swing,Ab,,0,0,,"(4, 4)","[[5, 8, 12], [5, 8, 12, 16], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 13], [8, 12, 15, 17], [5, 9, 12, 15], [10, 13, 17, 20], [3, 7, 10, 13], [8, 12, 15, 17], [7, 10, 13, 17], [0, 4, 7, 10, 13], [5, 8, 12], [5, 8, 12, 16], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 13], [8, 12, 15, 17], [5, 9, 12, 15], [10, 13, 17, 20], [3, 7, 10, 13], [8, 12, 15, 17], [8, 12, 15, 17], [5, 8, 12, 15], [5, 8, 12, 15], [1, 5, 8, 11], [1, 5, 8, 11], [5, 8, 12, 15], [5, 8, 12, 15], [1, 5, 8, 11], [1, 5, 8, 11], [5, 8, 12], [5, 8, 12, 16], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 13], [8, 12, 15, 17], [5, 9, 12, 15], [10, 13, 17, 20], [3, 7, 10, 13], [8, 12, 15, 17], [7, 10, 13, 17], [0, 4, 7, 10, 13]]"
